Card Name,Card Location,Card Type,Target Stamina Gain,Stamina Gain,Alc Water Discard,Alc Earth Discard,Alc Fire Discard,Spell Element,Stamina Cost,Aura Cost,Aura Gain,Target Boss reveal cards,Player's Target,Boss's Target,Damage,All Players Shield Gain,Target Shield Gain,Self Shield Gain,Total Attacks,Rarity,Turn 1 Damage?,Turn 2 Damage?,Turn 2 Condition,Additional Turn 1 Damage Condition,Additional Damage,Self Debuff,Self Buff,Next Turn Self Buff,Next Turn Self Debuff,Target gains Buff,Target gains Debuff,Target Debuff Amount,Additional Damage per target's Wet,Additional Damage per target's Venom,Additional Damager per Target's Total Debuffs,Discard All Spells?,Additional Damage per spell discarded,Discard Any Spell requirement Amount,Additional Damage per Angry on board,Damage taken induces reduction requirement,Damage reduction by Damage Taken,Targets Card Gains Played Twice?,Played Twice?,Self Heal Amount,Target Heal Amount,Target Remove Debuffs amount,Draw Cards,Target Draw Cards,All Players Draw Cards,Retain Card in Hand,Takes all Target's damage and Debuffs this turn,Take All Players Damage this Turn?,Remove all Wet,Heal Target for Each Wet Removed,Choose Spell(s) from Deck Amount,Target Gain Stamina Amount,Remove Self Debuff Amount,Discard Cards Requirement Amount,Other Players Draw Cards Amount,Strength Gain,Add Random Spiderling Amount
test V2,Fabio Reward,Skill,,,,,,,0,,,,Self,,,,,,0,Common,1,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,1,,
Dual Wield,Fabio Reward,Attack,,,,,,,2,,,,Single,,2,,,0,2,Common,1,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,
Circular Strike,Fabio Reward,Attack,,,,,,,1,,,,All Enemies,,3,,,0,1,Common,1,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,
Cursed Dagger,Fabio Reward,Attack,,,,,,,0,,,,Single,,2,,,0,1,Rare,1,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,
Jumping Strike,Fabio Reward,Attack,,,,,,,0,,,,Single,,4,,,0,1,Common,0,1,Take No Damage Prior Turn,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,
Execution,Fabio Reward,Attack,,,,,,,2,,,,Single,,4,,,0,1,Common,1,0,,Boss Below Half HP,4,,,,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,
Frenzy!,Fabio Reward,Attack,,,,,,,2,,,,All Enemies,,8,,,0,1,Common,1,0,,,,,,,Exhausted,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,
Weak Point!,Fabio Reward,Skill,,,,,,,1,,,,Single,,0,,,,,Common,1,0,,,,,,,,,,,,2,,,,,,,,,0,,,,,,,,,0,,,,,,,,,
Medkit,Fabio Reward,Heal,,,,,,,2,,,,Self,,,,,,0,Common,1,0,,,,Decay,,,,,,,,,,,,,,,,,0,10,,,,,,,,0,,,,,,,,,
Fighter's Spirit,Fabio Reward,Skill,,,,,,,1,,,,Self,,,,,,0,Common,1,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,1,,,,
Fighter's Spirit V2,Fabio Reward,Skill,,,,,,,1,,,,Self,,,,,5,0,Common,1,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,
Sacrifice,Fabio Reward,Skill,,,,,,,1,,,,Single Ally,,,,,,0,Common,1,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,1,
Leader,Fabio Reward,Skill,,,,,,,0,,,,All Allies,,,,,,0,Common,1,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,2,2,,
Leader V2,Fabio Reward,Skill,,,,,,,0,,,,Self,,,,,,0,Common,1,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,1,,
