Card Name,Card Location,Card Type,Target Stamina Gain,Stamina Gain,Alc Water Discard ,Alc Earth Discard,Alc Fire Discard,Spell Element,Stamina Cost,Aura Cost,Aura Gain,Target Boss reveal cards,Player's Target,Boss's Target,Damage,All Players Shield Gain,Target Shield Gain,Self Shield Gain,Total Attacks,Rarity,Turn 1 Damage?,Turn 2 Damage?,Turn 2 Condition,Additional Turn 1 Damage Condition,Additional Damage,Self Debuff,Self Buff,Next Turn Self Buff,Next Turn Self Debuff,Target gains Buff,Target gains Debuff,Target Debuff Amount,Additional Damage per target's Wet,Additional Damage per target's Venom,Additional Damager per Target's Total Debuffs,Discard All Spells?,Additional Damage per spell discarded,Discard Any Spell requirement Amount,Additional Damage per Angry on board,Damage taken induces reduction requirement,Damage reduction by Damage Taken,Targets Card Gains Played Twice?,Played Twice?,Self Heal Amount,Target Heal Amount ,Target Remove Debuffs amount,Draw Cards,Target Draw Cards,All Players Draw Cards,Retain Card in Hand,Takes all Target's damage and Debuffs this turn,Take All Players Damage this Turn?,Remove all Wet,Heal Target for Each Wet Removed,Choose Spell(s) from Deck Amount,Target Gain Stamina Amount,Remove Self Debuff Amount,Discard Cards Requirement Amount,Other Players Draw Cards Amount ,Strength Gain,Add Random Spiderling Amount
Alc': Giant Shield,Kevin Satchel,Skill,,,,1,1,Light,2,,,,,,,5,,,,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Meditate,Kevin,Skill,,,,,,,1,,,,,,,,,,,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,2,,,,,FALSE,,,,,,,,,
Rest,Kevin,Skill,,,,,,,1,,,,,,,,,,,Common,TRUE,FALSE,,,,,,Rested,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Fetal Position,Kevin,Skill,,,,,,,1,,,,,,,,,5,,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Spell: Mortar and Pestle,Kevin Reward,Skill,,,,,,Earth,0,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,1,,,,,FALSE,,,,2,,,,,FALSE,,,,,,,,,
Spell: Enflame,Kevin Reward,Skill,,,,,,Fire,1,,,,Any Player,,,,,,,,TRUE,FALSE,,,,,,,,Damage Plus 2,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Spell: Restore,Kevin Reward,Skill,,,,,,Water,1,,,,Any Player,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,5,,,,,,,
Spell: Ring Of Fire,Kevin Reward,Skill,,,,,,Fire,1,,,,Any Player,,,,5,,,,TRUE,FALSE,,,,,,,,Ring Of Fire,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Reformulate,Kevin Reward,Skill,,,,,,,0,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,1,,,,,FALSE,,,,,,,,,FALSE,,,1,,,,,,
Accretion,Kevin Reward,Skill,,,,,,,0,,,,Any Player,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,2,,,,,FALSE,,,,,,,,,FALSE,,,,1,,,,,
Spell:Ice Shield,Kevin,Skill,,,,,,Water,,,,,Any Player,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell: Encapsulation,Kevin,Skill,,,,,,Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
